type habits,prix,adresse,image_lien
Ensemble pull  coton,16900.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5101528_uploaded_image1_1734746493.jpg
Pull capison coton,8900.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5101529_uploaded_image1_1734746594.jpg
Ensemble pull,16900.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5101530_uploaded_image1_1734746678.jpg
Liquette bombos og,8900.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5101531_uploaded_image1_1734746760.jpg
12 gens calisson,15000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5101532_uploaded_image1_1734746874.jpg
Jellaba homme,11000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5102016_uploaded_image1_1734786693.jpg
Madras chemise,12000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5059323_uploaded_image1_1732454589.jpg
Chemises africaine pour homme,12000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5102794_uploaded_image1_1734858570.jpg
Pantalon Kaki homme,7000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5525299_uploaded_image1_1757874845.jpg
Pull-over,7000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5657710_uploaded_image1_1764949465.jpg
Pull homme,6000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5107087_uploaded_image2_1735155580.jpeg
Vetements homme,15000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5066572_uploaded_image1_1732835951.jpg
Costum safari,50000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5108457_uploaded_image1_1735264866.jpg
Ensemble chemise,8000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5588146_uploaded_image1_1761247172.jpg
survêtement gris homme,15000.0,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5110377_uploaded_image1_1735393334.jpg
Costume africain,75000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5565386_uploaded_image1_1759971775.jpg
Ensemble chemise et pantalon,12000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5111688_uploaded_image1_1735494507.jpg
Pantalons homme,6500.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5111696_uploaded_image1_1735494852.jpg
Tenue homme,25000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_3666508_uploaded_image1_1650729311.jpg
Pull Hiver,5000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_5114294_uploaded_image1_1735672479.jpg
Jeans Cargo homme,8000.0,"Damel, Dakar, Sénégal",https://images.coinafrique.com/thumb_5115022_uploaded_image1_1735766837.jpg
Costume africain,45000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5118945_uploaded_image1_1735994636.jpg
Costume africain,30000.0,"Ngor, Dakar, Sénégal",https://images.coinafrique.com/thumb_5145144_uploaded_image1_1737451281.jpg
Tennis de sécurité,20000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5121972_uploaded_image1_1736187214.jpg
