type habits,prix,adresse,image_lien
Ensemble pour garçon,4500.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_4885315_uploaded_image1_1723192524.jpg
Veste Softshell,14000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931208_uploaded_image1_1725627705.jpg
Veste Jacadi,12000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_4931211_uploaded_image1_1725627889.jpg
Pantalon enfants,6000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_4945928_uploaded_image1_1726439169.jpg
Ensemble pour enfant 0ans jusqua 15ans,6000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4957241_uploaded_image1_1727083231.jpg
Ensemble costume pour enfants,35000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5528024_uploaded_image1_1758018544.jpg
Lot pyjamas enfant 6/8 ans,11000.0,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5014321_uploaded_image1_1730104437.jpg
Pantalon pour enfant 14ans 15ans,4000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_4976513_uploaded_image1_1728030461.jpg
Ensemble Pul Enfants,18000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5081973_uploaded_image1_1733664739.jpg
Blouson pour enfants 1ans 5 ans,5000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046156_uploaded_image1_1731700664.jpg
Blouson coton pour enfants de 1ans 8ans,8000.0,"Ouest Foire, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046169_uploaded_image1_1731701583.jpg
Blouson pour enfants 100% coton 3 ans 9ans,8000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5046861_uploaded_image1_1731758020.jpg
Ensemble pour enfant de 1ans jusqua 15ans,7000.0,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_5116396_uploaded_image1_1735846707.jpg
Ensemble mardi gras,8000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5171755_uploaded_image1_1738776386.jpg
Djialabé enfant,8000.0,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5196620_uploaded_image1_1740145128.jpg
Dialabé enfant,10000.0,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_5181204_uploaded_image1_1739296973.jpg
